foodatlas_id	source	reference	entity_linking_method	_chemical_name	_flavor_name
mf102	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	sweet
mf103	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	sweet taste
mf104	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	strong odor of cinnamon
mf105	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	cinnamon
mf106	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	clove
mf107	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	spice
mf108	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	pungent, spicy note
mf109	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	candy
mf110	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	burning taste
mf111	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	red hots
mf112	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	paint
mf113	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=637511'}	id_matching	PUBCHEM_COMPOUND:637511	warm
mf114	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5281672'}	id_matching	PUBCHEM_COMPOUND:5281672	bitter
mf115	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	mint
mf116	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	sweet
mf117	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	taste threshold values: detection: 28 to 120 ppb
mf118	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	sharp
mf119	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	bitter
mf120	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	strong lemon odor
mf121	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	citrus
mf122	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	lemon
mf123	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	alpha-citral, 32 to 460 ppb
mf124	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	characteristic bittersweet
mf125	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=638011'}	id_matching	PUBCHEM_COMPOUND:638011	beta-citral, 30 to 460 ppb.
mf126	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=10393'}	id_matching	PUBCHEM_COMPOUND:10393	floral
mf127	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=10393'}	id_matching	PUBCHEM_COMPOUND:10393	sweet
mf128	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=10393'}	id_matching	PUBCHEM_COMPOUND:10393	fruity
mf129	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=10393'}	id_matching	PUBCHEM_COMPOUND:10393	mild
mf130	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=72304'}	id_matching	PUBCHEM_COMPOUND:72304	bitter
mf131	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	terpene
mf132	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	sweet, citrus taste
mf133	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	characteristic ... taste, ... becoming more pronounced and less agreeable on aging or exposure to air
mf134	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	fresh, citrus taste
mf135	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	acquires terebinthinate odor upon oxidation
mf136	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	camphor
mf137	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	citric
mf138	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	pleasant lemon-like
mf139	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	orange
mf140	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	citrus
mf141	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	penetrating odor
mf142	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	lemon
mf143	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	characteristic orange odor
mf144	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	characteristic odor ... becoming more pronounced and less agreeable on aging or exposure to air
mf145	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	herbal
mf146	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	woody
mf147	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	characteristic orange taste
mf148	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	citrus odor
mf149	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=22311'}	id_matching	PUBCHEM_COMPOUND:22311	characteristic odor of orange peels
mf150	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439250'}	id_matching	PUBCHEM_COMPOUND:439250	terpene
mf151	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439250'}	id_matching	PUBCHEM_COMPOUND:439250	pine
mf152	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439250'}	id_matching	PUBCHEM_COMPOUND:439250	herbal
mf153	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439250'}	id_matching	PUBCHEM_COMPOUND:439250	camphoraceous
mf154	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439250'}	id_matching	PUBCHEM_COMPOUND:439250	peppery
mf155	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	mint
mf156	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	sweet
mf157	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	citrus odor
mf158	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	orange
mf159	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	citrus
mf160	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	lemon
mf161	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	fresh
mf162	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=440917'}	id_matching	PUBCHEM_COMPOUND:440917	fresh, citrus taste
mf163	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=9064'}	id_matching	PUBCHEM_COMPOUND:9064	bitter
mf164	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=445154'}	id_matching	PUBCHEM_COMPOUND:445154	bitter
mf165	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	sweet
mf166	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	herbal
mf167	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	fresh
mf168	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	phenolic
mf169	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	tobacco
mf170	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	spicy
mf171	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	herb
mf172	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	rosemary
mf173	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=61041'}	id_matching	PUBCHEM_COMPOUND:61041	metallic
mf174	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=323'}	id_matching	PUBCHEM_COMPOUND:323	green
mf175	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=323'}	id_matching	PUBCHEM_COMPOUND:323	new mown hay
